Contract #,Client,Brand,Vehicle,Placement ID,Placement Description,Buy Component Type,PLD Type
17489-9-116138,"Daiichi Sankyo, Inc. - Alliance",Dato-dXD,Hot Topics In Oncology,257657,Display | 100% SOV | 11/1/23-3/31/24,Display- Non Targeted,AGG
17489-9-116138,"Daiichi Sankyo, Inc. - Alliance",Dato-dXD,Hot Topics In Oncology,257659,Email | 100% SOV | 11/1/23-3/31/24,e-Newsletters- Targeted/Programmatic,PLD & AGG
17972-9-122369,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Hot Topics in Breast Cancer,271250,339089 | VERBRE|mBC|MMC|HTBC|Digital Edition |DB|WA|E|NA|TL|NA|NA|NA|NA|NA|NA|NA|NA|NA||NA|NA,Display- Non Targeted,AGG
17972-9-122369,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Hot Topics in Breast Cancer,271273,339105 | VERBRE | mBC | MMC | HTBC | Triggered Email | DB | WA | N | None | None | None | None | None | None | None | None | None | None | None | SOA | None | None,Email- Re-contact / Trigger,PLD & AGG
17972-9-122369,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Hot Topics in Breast Cancer,271291,339117 | VERBRE | mBC | MMC | HTBC | New Issue Enl | DB | WA | N | None | None | None | None | None | None | None | None | None | None | None | Endemic Media | None | None,e-Newsletters- Targeted/Programmatic,PLD & AGG
17972-9-122369,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Hot Topics in Breast Cancer,286183,370019 | VERBRE | mBC | MMC | | Custom Email Sends x5 | EM | EM | E | CD | TL | None | None | None | None | None | None | None | None | None | SOA | None | None,Email,PLD & AGG
17972-9-122369,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Hot Topics in Breast Cancer,287383,372183 | VERBRE | mBC | MMC | HTBC | New Issue Enl - 2H AV | DB | WA | N | None | None | None | None | None | None | None | None | None | None | AV | Endemic Media | None | None,e-Newsletters- Targeted/Programmatic,PLD & AGG
17972-9-122369,Eli Lilly & Company,Verzenio - Breast,Matrix Medical Communications - Hot Topics in Breast Cancer,287385,372181 | VERBRE|mBC|MMC|HTBC|Digital Edition - 2H AV |DB|WA|E|NA|TL|NA|NA|NA|NA|NA|NA|NA|NA|AV|EN|NA|NA,Display- Non Targeted,AGG
18032-9-122625,Eli Lilly & Company,Jaypirca,Matrix Medical Communications - Clinical Updates,271824,342773 | JAY | CLL | MMC | CUCLL | (12) Clinical Updates in CLL eNL Jan-Dec | DB | EM | E | None | TL | None | None | None | AW | ENL | None | None | None | None | NM | None | None,e-Newsletters- Targeted/Programmatic,PLD & AGG
18032-9-122625,Eli Lilly & Company,Jaypirca,Clinical Updates in MCL,271828,342777 | JAY | CLL | MMC | CUCLL | Value Add Clinical Updates in MCL - April | DB | EM | E | None | TL | None | None | None | AW | ENL | None | None | None | AV | NM | None | None,e-Newsletters- Targeted/Programmatic,PLD & AGG
18032-9-122625,Eli Lilly & Company,Jaypirca,Matrix Medical Communications - Clinical Updates,285418,368042 | JAY|CLLC|MMC|CUCLL|VALUE ADD 2024 ASH Conference Coverage eNL 1 & 2|DB|WA|E|NA|TL|NA|NA|NA|NA|NA|NA|NA|NA|AV|NM|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG
18041-9-125045,"AbbVie, Inc",Skyrizi,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),277310,352118 | SKY||MMC||Maui Derm Conference Coverage - Landing Page|DB|WA|E|NA|SPT|NA|NA|NA|AW|SPS|NA|NA|NA|NA|BRD|SPED|NA,Display- Non Targeted,AGG
18041-9-125045,"AbbVie, Inc",Skyrizi,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),277314,352124 | SKY||MMC||Elevate Derm Fall - Landing Page|DB|WA|E|NA|SPT|NA|NA|NA|AW|SPS|NA|NA|NA|NA|BRD|SPED|NA,Display- Non Targeted,AGG
18145-9-121013,AstraZeneca Oncology,Tagrisso HCP,Matrix Medical Communications - Hot Topics,268401,333792 | TAGHCP | LC | MMC | HTNSCLC | Custom Emails | EM | EM | E | None | TL | None | None | None | None | None | None | None | None | None | None | None | None,Email,PLD & AGG
18161-9-123592,AstraZeneca Oncology,Calquence CLL HCP,Matrix Medical Communications - Hot Topics in CLL,273870,340386 | CALCLLHCP | CLLSLL | MMC | HTCLL | Hot Topics in CLL - Display | DB | WA | E | None | TL | None | None | None | None | None | None | None | None | None | None | None | None,Display- Non Targeted,AGG
18161-9-123592,AstraZeneca Oncology,Calquence CLL HCP,Matrix Medical Communications - Hot Topics in CLL,273871,340377 | CALCLLHCP | CLLSLL | MMC | HTCLL | Hot Topics in CLL - Emails | DB | EM | E | None | TL | None | None | None | None | ENL | None | None | None | None | None | None | None,e-Newsletters- Targeted/Programmatic,PLD & AGG
18161-9-123592,AstraZeneca Oncology,Calquence CLL HCP,Matrix Medical Communications - Hot Topics in CLL,273874,340395 | CALCLLHCP | CLLSLL | MMC | HTCLL | Triggered Email - Added Value | EM | EM | E | None | TL | None | None | None | None | None | None | None | None | AV | None | None | None,Email- Re-contact / Trigger,PLD & AGG
18187-9-122724,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,272013,333987 | ONELUNG | LC | MMC | HTNSCLC | ADDED VALUE: Hot Topics Triggered Email (TAG) | EM | EM | E | None | None | None | None | None | None | None | None | None | None | AV | None | None | None,Email- Re-contact / Trigger,PLD & AGG
18187-9-122724,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,272017,333991 | ONELUNG | LC | MMC | HTNSCLC | ADDED VALUE: Hot Topics Triggered Email (IMF) | EM | EM | E | None | None | None | None | None | None | None | None | None | None | AV | None | None | None,Email- Re-contact / Trigger,PLD & AGG
18187-9-122724,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,272126,334005 | ONELUNG | LC | MMC | HTNSCLC | Hot Topics in NSCLC Digital Issue | DB | WA | E | None | None | None | None | None | None | None | None | None | None | None | None | None | None,Display- Non Targeted,PLD & AGG
18187-9-122724,AstraZeneca Oncology,AZ One Lung HCP,Matrix Medical Communications - Hot Topics,272132,334008 | ONELUNG | LC | MMC | HTNSCLC | Hot Topics in NSCLC eNL | EM | EM | E | None | None | None | None | None | None | None | None | None | None | None | None | None | None,e-Newsletters- Targeted/Programmatic,PLD & AGG
18187-9-122724,"AbbVie, Inc",Rinvoq AD,Matrix Medical Communications - Journal of Clinical and Aesthetic Dermatology (JCAD),279326,356675 | RINAD|AD|MMC||Maui Derm Conference Coverage AD Specific - Landing Page|DB|WA|E|NA|SPT|NA|NA|NA|AW| ROC|NA|NA|NA|NA|BRD|SPCTX|NA,Display- Non Targeted,AGG
18408-9-126639,"Daiichi Sankyo, Inc. - Alliance",Enhertu HER2LOW,Matrix Medical Communications - Conference Show Dailies,281428,356318 | ENH2L|mBC|MMC|MMCCSD|SABCS 2024 Conference Show Dallies|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|NA|NA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG
18408-9-126639,"Daiichi Sankyo, Inc. - Alliance",Enhertu HER2LOW,Matrix Medical Communications - Conference Show Dailies,281429,356319 | ENH2L|mBC|MMC|MMCCSD|SABCS 2024 Conference Show Dallies Wrap Up eNL - Value Add|DB|EM|E|NA|TL|NA|NA|NA|AW|ENL|NA|NA|NA|AV|NA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG
18408-9-126639,"Daiichi Sankyo, Inc. - Alliance",Enhertu HER2LOW,Matrix Medical Communications - Conference Show Dailies,282599,362483 | ENH2L|mBC|MMC|MMCCSD|SABCS 2024 Conference Show Dailies - Hosting on Dedicated Landing Page Added Value|DB|WA|E|NA|CTL|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA,Display- Non Targeted,AGG
19112-9-127447,Eli Lilly & Company,Imlunestrant DSE,Matrix Medical Communications - Hot Topics in Breast Cancer,283647,362603 | IMLUNDSE|mBC|MMC|HTBC|Hot Topics in Breast Cancer - New Issue eNL|DB|EM|E|NA|TL|NA|NA|NA|NA|NA|NA|NA|NA|NA|SOA|NA|NA,e-Newsletters- Targeted/Programmatic,PLD & AGG
